,id,author_id,created_at,text
0,572341498827522049,110114783,2015-03-02T10:23:41.000Z,Drasko they didn't cook half a bird you idiot #mkr
1,572340476503724032,38650214,2015-03-02T10:19:37.000Z,Hopefully someone cooks Drasko in the next ep of #MKR
2,572334712804384768,2587278392,2015-03-02T09:56:43.000Z,of course you were born in serbia...you're as fucked as A Serbian Film #MKR
3,572332655397629952,2601524623,2015-03-02T09:48:33.000Z,"These girls are the equivalent of the irritating Asian girls a couple years ago. Well done, 7. #MKR"
0,446460991396917248,930620467,2014-03-20T01:39:29.000Z,"RT @YesYoureRacist: At least you're only a tiny bit racist RT @AnMo95: I'm not racist, but my dick is!"
1,489938636956135424,930620467,2014-07-18T01:04:08.000Z,@MisfitInChains @oldgfatherclock @venereveritas13 SANTA JUST *IS* WHITE
2,502315096052596736,930620467,2014-08-21T04:43:46.000Z,"RT @Dreamdefenders: Eric Holder from #ferguson: ""I understand that mistrust. I am the Attorney General, but I am also a Black Man"" http://t…"
3,502508643204755456,930620467,2014-08-21T17:32:51.000Z,RT @AntonioFrench: I spent the morning at the Board of Elections getting maps/data to start registering every black person in #Ferguson. ht…
4,537442614534864896,930620467,2014-11-26T03:07:59.000Z,"RT @harikondabolu: In his #Ferguson testimony, Darren Wilson said he thought ""it looks like a demon"" before he shot Mike Brown. Ironic word…"
5,538130705382129664,930620467,2014-11-28T00:42:12.000Z,"""He can't be a server at our restaurant, that beard makes him look like a terrorist."" Everyone laughs. #fuckthanksgiving"
6,574589943982379008,930620467,2015-03-08T15:18:12.000Z,@GarrettaBrown85 @5Candrew Why do people even talk about white privilege when the majority of food stamp recipients are white people!!
7,572346080911736832,1552538606,2015-03-02T10:41:54.000Z,These two are revolting #MKR #MKR2015
8,572348198062170112,30183481,2015-03-02T10:50:18.000Z,#katieandnikki stop calling yourselves pretty and hot..you're not and saying it a million times doesn't make you either...STFU #MKR
9,572319306387599360,359236505,2015-03-02T08:55:30.000Z,The menus look like they were made by a 5 year old little girl...in this case just the mental age of a 5 year old girl I guess #MKR
10,572347842456522752,2587278392,2015-03-02T10:48:54.000Z,Wish these blondes were in that How To Get Away With Murder show....#MKR
11,572347584339046402,26248642,2015-03-02T10:47:52.000Z,Were butchers but can't tell red poultry is not cooked..  #salmonellaqueens #MKR
12,572347419209252865,166873656,2015-03-02T10:47:13.000Z,Not dumb blondes...mmm...perhaps just delusions of adequacy? #MKR
13,572347385889759232,110114783,2015-03-02T10:47:05.000Z,Stop saying dumb blondes with pretty faces as you need a pretty face to pull that off!!!! #mkr
14,572321733841063936,389706217,2015-03-02T09:05:09.000Z,@mykitchenrules The Sassy Foods feeling http://t.co/TtqS1N27OL #MKR2015 #MKR these girls are vile people #KillerBlondes #basichotdog #nobun
15,572346263426875392,465311165,2015-03-02T10:42:37.000Z,#mkr Omg there restaurant looks like a a little girls room oh my! Gosh
16,572346235719323648,72971775,2015-03-02T10:42:30.000Z,I think they're deconstraucted Pro . . . mowhores #MKR
17,572332552016437249,1059207842,2015-03-02T09:48:08.000Z,My deconstructed tart joke from the last season of #MKR http://t.co/10LPgtdopB
18,595166563516329985,27608469,2015-05-04T10:02:21.000Z,Ash found her inner bogun #whistle #fingersinthemouth Ewwww #MKR
19,572331686156873728,2987013481,2015-03-02T09:44:42.000Z,Nikki...Kermit the frog called and he wants his voice back #MKR #MKR2015 #KillerBlondes @mykitchenrules
20,572345888258981888,26248642,2015-03-02T10:41:08.000Z,There's more moisture in those spatchcocks than the #killerblondes #MKR
21,571853767047421952,2949949244,2015-03-01T02:05:37.000Z,The face of very ugly promo girls ! Faces like cats arsehole #mkr excited to see them@go down tonight...literally http://t.co/HgoJrfoIeO
